Model,Prompt,Acurácia (moda),Precisão (moda),Recall (moda),F1 (moda),Under-triage (moda),Over-triage (moda),Concordância média,Acurácia geral,Under-triage geral,Over-triage geral
gpt-oss-20b,prompt_1,0.41025600000000001,0.46069100000000002,0.4200850000000000,0.3959330000000000,0.13636400000000001,0.8636360000000000,0.581197000000000,0.4358970000000000,0.1774190000000000,0.8225810000000000
gpt-oss-20b,prompt_2,0.5128210000000000,0.6030770000000000,0.538974000000000,0.5238100000000000,0.2631580000000000,0.7368420000000000,0.6581200000000000,0.46153800000000000,0.2222220000000000,0.7777780000000000
gpt-oss-20b,prompt_3,0.46153800000000000,0.3055560000000000,0.3735040000000000,0.3142860000000000,0.15,0.85,0.5042740000000000,0.46153800000000000,0.13114799999999999,0.8688520000000000
,,,,,,,,,,,
