Model,Prompt,Acurácia (moda),Precisão (moda),Recall (moda),F1 (moda),Under-triage (moda),Over-triage (moda),Concordância média,Acurácia geral,Under-triage geral,Over-triage geral
deepseek-r1-14b,prompt_1,35.90%,30.00%,37.03%,27.96%,12.00%,88.00%,45.30%,29.91%,18.29%,81.71%
deepseek-r1-14b,prompt_2,43.59%,34.94%,46.36%,36.99%,36.36%,63.64%,36.75%,39.32%,33.80%,66.20%
deepseek-r1-14b,prompt_3,28.21%,22.82%,26.49%,19.23%,17.86%,82.14%,52.99%,29.06%,18.29%,81.71%
deepseek-r1-14b,Total (Média),35.90%,29.25%,36.62%,28.06%,22.07%,77.93%,45.01%,32.76%,23.46%,76.54%
