Model,Prompt,Acurácia (moda),Precisão (moda),Recall (moda),F1 (moda),Under-triage (moda),Over-triage (moda),Concordância média,Acurácia geral,Under-triage geral,Over-triage geral
llama3.1-8b,prompt_1,0.3076920000000000,0.6236260000000000,0.42205100000000001,0.3677720000000000,0.0,1.0,0.5726500000000000,0.2905980000000000,0.04819300000000000,0.9518070000000000
llama3.1-8b,prompt_2,0.23076900000000000,0.422,0.46871800000000002,0.29844700000000002,0.13333300000000001,0.8666670000000000,0.564103000000000,0.2564100000000000,0.08046000000000000,0.9195400000000000
llama3.1-8b,prompt_3,0.20512800000000000,0.14404800000000001,0.2553850000000000,0.13073599999999999,0.03225800000000000,0.967742000000000,0.8461540000000000,0.21367500000000000,0.03260900000000000,0.967391000000000
,,,,,,,,,,,
