,Prompt,Acurácia (moda),Precisão (moda),Recall (moda),F1 (moda),Under-triage (moda),Over-triage (moda),Concordância média,Acurácia geral,Under-triage geral,Over-triage geral
gemma3-12b,prompt_1,0.1794870000000000,0.08424900000000000,0.24,0.10685699999999999,0.0,1.0,0.9316240000000000,0.19658100000000001,0.0,1.0
gemma3-12b,prompt_2,0.3333330000000000,0.13896100000000000,0.32,0.18618599999999999,0.0,1.0,1.0,0.3333330000000000,0.0,1.0
gemma3-12b,prompt_3,0.3076920000000000,0.13333300000000001,0.30666700000000002,0.17777799999999999,0.0,1.0,0.9316240000000000,0.3162390000000000,0.0,1.0
,,,,,,,,,,,
